game_id,season_year,game_date,home_team_id,away_team_id
0021800971,2018-19,2019-03-06,1610612740,1610612762
0021800972,2018-19,2019-03-06,1610612756,1610612752
0021800973,2018-19,2019-03-06,1610612758,1610612738
0021800974,2018-19,2019-03-06,1610612747,1610612743
0021800975,2018-19,2019-03-07,1610612749,1610612754
0021800976,2018-19,2019-03-07,1610612757,1610612760
0041800124,2018-19,2019-04-20,1610612751,1610612755
0041800154,2018-19,2019-04-20,1610612759,1610612743
0041800103,2018-19,2019-04-20,1610612765,1610612749
0041800173,2018-19,2019-04-20,1610612762,1610612745
0041800134,2018-19,2019-04-21,1610612754,1610612738
0041800144,2018-19,2019-04-21,1610612746,1610612744
0041800114,2018-19,2019-04-21,1610612753,1610612761
0041800164,2018-19,2019-04-21,1610612760,1610612757
0041800104,2018-19,2019-04-22,1610612765,1610612749
0041800174,2018-19,2019-04-22,1610612762,1610612745
0041800115,2018-19,2019-04-23,1610612761,1610612753
0041800125,2018-19,2019-04-23,1610612755,1610612751
0041800155,2018-19,2019-04-23,1610612743,1610612759
0041800165,2018-19,2019-04-23,1610612757,1610612760
0041800175,2018-19,2019-04-24,1610612745,1610612762
0041800156,2018-19,2019-04-25,1610612759,1610612743
0041800146,2018-19,2019-04-26,1610612746,1610612744
0041800211,2018-19,2019-04-27,1610612761,1610612755
0041800157,2018-19,2019-04-27,1610612743,1610612759
0041800201,2018-19,2019-04-28,1610612749,1610612738
0041800221,2018-19,2019-04-28,1610612744,1610612745
0041800212,2018-19,2019-04-29,1610612761,1610612755
0041800231,2018-19,2019-04-29,1610612743,1610612757
0041800202,2018-19,2019-04-30,1610612749,1610612738
0041800222,2018-19,2019-04-30,1610612744,1610612745
0041800232,2018-19,2019-05-01,1610612743,1610612757
0041800213,2018-19,2019-05-02,1610612755,1610612761
0041800203,2018-19,2019-05-03,1610612738,1610612749
0041800233,2018-19,2019-05-03,1610612757,1610612743
0041800223,2018-19,2019-05-04,1610612745,1610612744
0021900167,2019-20,2019-11-15,1610612766,1610612765
0021900168,2019-20,2019-11-15,1610612753,1610612759
0021900169,2019-20,2019-11-15,1610612745,1610612754
0021900170,2019-20,2019-11-15,1610612763,1610612762
0021900171,2019-20,2019-11-15,1610612750,1610612764
0021900172,2019-20,2019-11-15,1610612760,1610612755
